x1,x2,x3,x4,x5,y1,y2,y3,y4
2.0,25.0,8.0,10.0,4.0,2022,1,2,0
2.0,25.0,11.0,13.0,4.0,973,1,2,0
1.0,25.0,14.0,12.0,4.0,748,1,2,0
10.0,25.0,0.0,17.0,2.0,455,1,2,0
8.0,25.0,0.0,17.0,2.0,489,1,2,0
7.0,6.0,0.0,17.0,4.0,1017,1,2,0
8.0,25.0,17.0,9.0,2.0,969,1,2,0
10.0,20.0,17.0,14.0,4.0,2246,1,2,0
10.0,20.0,17.0,12.0,4.0,2333,1,2,0
4.0,10.0,99.0,9.0,4.0,1007,1,2,29
7.0,25.0,0.0,17.0,4.0,1282,1,2,0
15.0,25.0,0.0,17.0,4.0,992,1,2,0
10.0,20.0,0.0,17.0,4.0,85,1,2,0
24.0,25.0,0.0,17.0,4.0,1492,1,2,0
2.0,20.0,59.0,5.0,4.0,955,1,2,0
2.0,20.0,0.0,17.0,2.0,191,1,2,0
9.0,25.0,0.0,17.0,2.0,749,1,2,0
10.0,25.0,78.0,5.0,4.0,1137,1,2,0
4.0,25.0,11.0,12.0,4.0,736,1,2,0
2.0,25.0,144.0,1.0,4.0,1107,1,2,0
2.0,25.0,12.0,10.0,4.0,2329,1,2,0
2.0,21.0,11.0,8.0,4.0,2216,1,1,27
4.0,21.0,7.0,10.0,4.0,1633,1,1,24
4.0,12.0,30.0,12.0,2.0,475,1,2,0
10.0,20.0,0.0,17.0,2.0,1468,1,1,11
10.0,20.0,58.0,1.0,4.0,584,2,8,21
7.0,10.0,26.0,13.0,4.0,2269,1,1,27
25.0,20.0,11.0,14.0,4.0,373,1,1,27
10.0,27.0,0.0,17.0,4.0,1903,1,1,17
2.0,27.0,9.0,10.0,4.0,991,1,2,0
23.0,25.0,0.0,17.0,4.0,1110,1,2,0
23.0,25.0,0.0,8.0,4.0,764,1,2,0
16.0,25.0,155.0,17.0,4.0,362,1,2,0
6.0,6.0,31.0,12.0,4.0,849,1,2,29
7.0,25.0,0.0,17.0,4.0,1251,1,2,0
22.0,18.0,44.0,8.0,4.0,432,1,2,0
2.0,25.0,0.0,17.0,4.0,1183,1,2,0
2.0,25.0,0.0,17.0,4.0,506,1,2,0
2.0,20.0,69.0,5.0,4.0,2336,1,2,0
30.0,6.0,40.0,8.0,4.0,289,1,2,8
5.0,21.0,6.0,8.0,4.0,1454,1,2,0
7.0,25.0,56.0,12.0,4.0,1816,1,2,0
2.0,20.0,36.0,14.0,4.0,2229,1,2,0
6.0,12.0,12.0,14.0,4.0,2333,1,2,0
10.0,30.0,0.0,17.0,4.0,868,1,2,0
10.0,25.0,6.0,12.0,2.0,1841,1,1,24
9.0,27.0,6.0,13.0,4.0,2180,1,1,17
16.0,25.0,10.0,5.0,4.0,1143,1,2,0
4.0,27.0,9.0,10.0,4.0,2342,1,2,0
4.0,20.0,0.0,17.0,4.0,1425,1,1,17
4.0,27.0,28.0,11.0,4.0,1536,1,1,17
8.0,20.0,35.0,12.0,4.0,35,1,2,0
7.0,25.0,585.0,9.0,4.0,2008,1,2,0
25.0,25.0,0.0,17.0,4.0,2023,1,2,0
2.0,25.0,0.0,17.0,4.0,2001,1,2,0
22.0,27.0,71.0,12.0,4.0,2347,1,2,0
10.0,25.0,15.0,12.0,2.0,2153,1,2,0
4.0,25.0,0.0,17.0,4.0,910,1,1,24
9.0,27.0,38.0,1.0,4.0,920,1,2,0
2.0,25.0,8.0,8.0,4.0,1670,1,2,0
18.0,25.0,0.0,17.0,4.0,976,1,2,0
7.0,18.0,0.0,17.0,2.0,1381,1,2,0
24.0,25.0,40.0,13.0,4.0,1289,1,2,0
10.0,25.0,256.0,8.0,4.0,1640,1,2,0
23.0,25.0,74.0,5.0,4.0,2273,1,1,13
10.0,25.0,0.0,17.0,2.0,1964,1,2,0
2.0,20.0,0.0,17.0,4.0,84,1,2,0
1.0,20.0,0.0,17.0,2.0,2029,1,1,17
4.0,25.0,0.0,17.0,4.0,1133,1,2,0
2.0,20.0,0.0,17.0,4.0,414,1,2,0
2.0,20.0,9.0,12.0,4.0,1214,1,1,17
2.0,25.0,0.0,17.0,4.0,1755,1,2,0
9.0,18.0,5.0,9.0,4.0,907,1,1,13
2.0,25.0,48.0,5.0,4.0,1140,1,2,0
7.0,20.0,0.0,17.0,4.0,2407,1,2,0
26.0,25.0,5.0,9.0,4.0,2255,1,1,24
9.0,27.0,0.0,17.0,4.0,1847,1,1,17
10.0,6.0,24.0,14.0,4.0,2252,1,2,0
2.0,30.0,0.0,17.0,4.0,642,1,1,27
12.0,27.0,592.0,5.0,4.0,1415,1,1,17
7.0,25.0,0.0,17.0,2.0,489,1,2,0
8.0,20.0,0.0,17.0,2.0,1073,1,2,0
10.0,25.0,15.0,9.0,4.0,1184,1,2,0
10.0,25.0,18.0,10.0,4.0,983,1,1,24
10.0,6.0,23.0,12.0,4.0,1664,1,2,0
10.0,25.0,331.0,12.0,4.0,1291,1,2,0
7.0,25.0,0.0,17.0,4.0,1671,1,2,0
10.0,8.0,178.0,8.0,4.0,858,1,2,0
2.0,25.0,66.0,12.0,4.0,975,1,2,0
26.0,25.0,112.0,1.0,4.0,1113,1,2,0
17.0,27.0,9.0,14.0,2.0,1462,1,2,0
10.0,20.0,0.0,17.0,2.0,1369,1,2,0
4.0,25.0,0.0,17.0,4.0,405,1,2,0
23.0,25.0,0.0,17.0,4.0,203,1,2,0
2.0,25.0,106.0,5.0,4.0,201,1,1,24
4.0,12.0,47.0,10.0,4.0,996,1,2,0
7.0,20.0,19.0,5.0,4.0,2321,1,2,0
9.0,27.0,73.0,9.0,4.0,1177,1,1,17
9.0,18.0,12.0,12.0,4.0,478,1,2,0
4.0,25.0,79.0,9.0,4.0,1295,1,2,0
5.0,6.0,0.0,17.0,4.0,1720,2,8,21
5.0,25.0,50.0,12.0,4.0,406,1,2,0
3.0,18.0,104.0,5.0,4.0,894,1,2,0
17.0,25.0,0.0,17.0,4.0,1815,1,2,0
10.0,25.0,0.0,17.0,4.0,17,1,2,0
10.0,20.0,626.0,12.0,4.0,1160,1,2,0
17.0,25.0,0.0,17.0,4.0,1983,1,2,0
10.0,20.0,0.0,17.0,4.0,1297,2,8,21
16.0,27.0,0.0,11.0,4.0,1857,1,1,17
1.0,12.0,46.0,9.0,4.0,1480,1,1,17
16.0,27.0,0.0,17.0,4.0,1326,1,1,17
17.0,17.0,0.0,17.0,4.0,2359,1,2,30
16.0,25.0,35.0,8.0,4.0,421,1,2,0
16.0,27.0,36.0,8.0,4.0,1161,1,1,9
24.0,7.0,0.0,17.0,4.0,420,1,2,0
15.0,25.0,0.0,17.0,4.0,2303,1,1,24
17.0,25.0,10.0,12.0,2.0,766,1,2,0
19.0,25.0,90.0,5.0,4.0,402,1,2,0
3.0,25.0,8.0,12.0,4.0,2131,1,1,24
9.0,7.0,0.0,17.0,2.0,435,1,2,0
23.0,25.0,127.0,1.0,4.0,760,1,2,0
12.0,25.0,68.0,5.0,4.0,1923,1,2,0
5.0,25.0,69.0,10.0,4.0,762,1,2,0
2.0,20.0,8.0,8.0,4.0,1317,1,1,27
9.0,20.0,7.0,11.0,4.0,1,1,1,27
4.0,7.0,73.0,5.0,4.0,1840,1,1,24
20.0,25.0,51.0,8.0,4.0,1579,1,2,0
9.0,30.0,51.0,8.0,4.0,1277,1,2,0
7.0,20.0,0.0,17.0,3.0,1657,1,2,0
23.0,25.0,59.0,12.0,4.0,770,1,2,0
2.0,25.0,79.0,5.0,4.0,2223,1,2,0
8.0,20.0,24.0,12.0,2.0,296,1,2,0
1.0,12.0,28.0,8.0,4.0,511,1,2,0
2.0,20.0,0.0,17.0,4.0,2407,1,2,0
25.0,18.0,13.0,17.0,2.0,184,1,2,0
2.0,25.0,83.0,5.0,4.0,1144,1,2,0
7.0,25.0,13.0,12.0,3.0,575,1,2,0
10.0,25.0,0.0,17.0,3.0,573,1,2,0
2.0,25.0,15.0,8.0,4.0,57,1,2,0
2.0,25.0,584.0,5.0,4.0,2002,1,2,0
8.0,20.0,10.0,14.0,2.0,86,1,2,0
2.0,6.0,0.0,17.0,4.0,1099,1,1,27
23.0,25.0,100.0,9.0,4.0,1983,1,2,0
29.0,25.0,69.0,5.0,4.0,409,1,2,0
24.0,25.0,0.0,17.0,6.0,244,1,2,0
15.0,6.0,118.0,1.0,4.0,1549,1,1,22
17.0,25.0,177.3699951171875,7.260000228881836,7.0,1186,1,2,0
24.0,6.0,52.0,12.0,4.0,208,1,1,16
9.0,12.0,103.0,9.0,4.0,1357,1,2,0
7.0,10.0,34.0,8.0,4.0,1500,1,1,27
10.0,18.0,0.0,17.0,4.0,1080,1,2,0
24.0,25.0,133.35000610351562,6.28000020980835,7.0,1308,1,2,0
15.0,25.0,9.0,10.0,4.0,1811,1,2,0
2.0,25.0,35.0,5.0,4.0,1851,1,2,0
2.0,25.0,75.0,1.0,4.0,1129,1,2,0
10.0,25.0,0.0,17.0,4.0,614,1,1,17
10.0,25.0,571.0,5.0,4.0,367,1,2,0
2.0,12.0,26.0,12.0,4.0,1451,1,2,0
2.0,16.0,62.0,10.0,4.0,1874,1,2,25
7.0,25.0,30.0,12.0,4.0,553,1,2,0
10.0,25.0,6.0,12.0,3.0,515,1,2,0
6.0,25.0,5.0,12.0,3.0,359,1,2,0
5.0,25.0,0.0,17.0,4.0,1285,1,2,0
2.0,25.0,6.0,12.0,4.0,754,1,2,0
25.0,25.0,80.0,5.0,4.0,1640,1,2,0
7.0,6.0,28.0,12.0,4.0,1823,1,2,0
4.0,25.0,8.0,12.0,4.0,1965,1,2,0
7.0,25.0,0.0,17.0,6.0,464,1,2,0
7.0,25.0,0.0,17.0,6.0,2276,1,2,0
7.0,0.0,7.0,9.0,4.0,1919,1,1,16
5.0,6.0,79.0,12.0,4.0,986,1,2,0
10.0,14.0,6.0,10.0,2.0,1244,2,8,21
2.0,6.0,0.0,17.0,4.0,862,1,2,0
6.0,25.0,417.0,9.0,3.0,1034,1,2,0
4.0,10.0,18.0,12.0,4.0,2136,1,1,27
25.0,24.0,0.0,17.0,4.0,103,1,1,16
4.0,0.0,12.0,10.0,4.0,2054,1,1,16
4.0,4.0,0.0,17.0,4.0,1859,1,1,17
25.0,6.0,0.0,17.0,4.0,62,1,1,27
7.0,25.0,534.1900024414062,8.529999732971191,7.0,243,1,2,0
2.0,25.0,503.3900146484375,9.949999809265137,7.0,460,1,2,0
2.0,25.0,503.3900146484375,9.949999809265137,7.0,473,1,2,0
10.0,22.0,10.0,12.0,4.0,896,1,2,0
7.0,25.0,534.1900024414062,8.529999732971191,7.0,549,1,2,0
2.0,12.0,417.0564880371094,9.84000015258789,7.0,1867,1,2,0
12.0,16.0,8.0,12.0,4.0,2363,1,2,25
18.0,0.0,18.0,12.0,4.0,2376,1,1,16
23.0,17.0,0.0,17.0,4.0,1396,1,2,30
12.0,16.0,9.0,10.0,4.0,821,1,1,17
9.0,16.0,41.0,8.0,4.0,2369,1,2,25
2.0,25.0,113.0,8.0,4.0,2011,1,2,0
9.0,17.0,347.0,5.0,4.0,283,1,2,0
10.0,10.0,92.0,5.0,4.0,2122,1,1,27
2.0,25.0,17.0,9.0,4.0,223,1,2,0
9.0,7.0,86.0,13.0,4.0,435,1,2,0
29.0,16.0,3.0,17.0,4.0,1776,1,1,17
10.0,25.0,56.0,14.0,2.0,1048,1,2,0
2.0,25.0,0.0,17.0,4.0,1039,1,2,0
4.0,25.0,0.0,17.0,4.0,148,1,2,0
1.0,25.0,0.0,17.0,4.0,1014,1,2,0
4.0,25.0,0.0,17.0,2.0,2195,1,2,0
2.0,25.0,63.0,12.0,4.0,1038,1,2,0
30.0,25.0,0.0,17.0,4.0,1578,1,2,0
23.0,25.0,0.0,17.0,4.0,1348,1,2,0
25.0,12.0,0.0,17.0,2.0,1708,1,2,0
2.0,5.0,129.0,1.0,4.0,2342,1,2,0
15.0,10.0,0.0,17.0,4.0,61,1,1,9
8.0,6.0,0.0,17.0,2.0,1646,1,1,17
23.0,8.0,14.0,12.0,4.0,1821,1,2,0
2.0,6.0,0.0,17.0,4.0,2318,1,2,0
7.0,6.0,0.0,17.0,4.0,980,1,1,27
1.0,6.0,83.0,8.0,4.0,1963,1,1,9
12.0,6.0,442.0,1.0,4.0,629,1,1,16
2.0,0.0,357.0,13.0,7.0,1645,1,1,16
6.0,28.0,0.0,17.0,2.0,1482,1,1,16
18.0,6.0,0.0,17.0,4.0,25,1,1,16
4.0,6.0,0.0,17.0,4.0,2044,1,1,32
16.0,1.0,56.0,14.0,4.0,267,1,1,4
2.0,6.0,130.0,5.0,4.0,68,1,2,0
10.0,25.0,0.0,17.0,4.0,1749,1,1,24
4.0,12.0,53.0,9.0,4.0,859,1,1,16
25.0,29.0,0.0,17.0,6.0,885,1,2,0
26.0,0.0,6.0,17.0,4.0,44,1,1,1
26.0,28.0,34.0,12.0,4.0,873,1,1,16
17.0,24.0,0.0,11.0,2.0,1239,1,1,16
23.0,29.0,0.0,17.0,4.0,106,1,1,9
2.0,7.0,0.0,17.0,4.0,2041,1,1,24
2.0,16.0,55.0,5.0,4.0,812,1,2,12
9.0,12.0,121.0,5.0,4.0,1637,1,1,17
17.0,25.0,0.0,17.0,2.0,342,1,1,16
23.0,8.0,0.0,17.0,4.0,79,1,1,24
22.0,5.0,74.0,12.0,4.0,2030,1,1,17
1.0,6.0,0.0,17.0,4.0,1985,1,1,27
29.0,16.0,0.0,17.0,4.0,2077,1,1,9
26.0,16.0,0.0,11.0,4.0,135,1,1,9
10.0,25.0,0.0,17.0,3.0,573,1,2,0
1.0,25.0,0.0,17.0,4.0,756,1,2,0
30.0,27.0,93.0,5.0,4.0,347,1,1,27
2.0,17.0,513.0,10.0,7.0,1626,1,1,17
23.0,27.0,406.0,9.0,7.0,1325,1,1,17
4.0,25.0,240.0,8.0,2.0,474,1,2,0
6.0,25.0,654.0,9.0,3.0,1676,1,2,0
10.0,7.0,11.0,12.0,4.0,1593,1,1,11
10.0,25.0,0.0,17.0,3.0,526,1,2,0
10.0,25.0,0.0,17.0,3.0,522,1,2,0
23.0,16.0,76.0,8.0,4.0,2361,1,2,25
10.0,25.0,11.0,12.0,2.0,950,1,2,0
23.0,10.0,0.0,17.0,2.0,723,1,2,0
1.0,25.0,0.0,17.0,2.0,1041,1,2,0
23.0,16.0,162.0,1.0,4.0,2149,1,1,9
23.0,27.0,192.0,1.0,4.0,256,1,1,17
23.0,25.0,0.0,17.0,4.0,792,1,2,0
5.0,27.0,83.0,17.0,4.0,624,1,1,17
2.0,25.0,0.0,17.0,4.0,543,1,2,0
12.0,7.0,78.0,12.0,4.0,1768,1,1,27
2.0,12.0,60.0,5.0,4.0,39,1,1,17
2.0,25.0,36.0,5.0,4.0,227,1,2,0
10.0,6.0,64.0,5.0,4.0,2333,1,2,0
18.0,27.0,56.0,8.0,4.0,1872,1,2,25
23.0,25.0,0.0,17.0,4.0,1881,1,2,25
2.0,25.0,44.0,12.0,4.0,2304,1,1,24
24.0,9.0,0.0,17.0,4.0,882,1,1,27
7.0,25.0,562.0,4.0,6.0,215,1,2,0
23.0,25.0,917.0,10.0,6.0,719,1,2,0
10.0,25.0,658.0,8.0,3.0,477,1,2,0
4.0,10.0,18.0,12.0,4.0,1502,1,1,27
1.0,27.0,86.0,8.0,4.0,1719,2,8,21
6.0,25.0,664.0,8.0,3.0,572,1,2,0
16.0,25.0,0.0,17.0,4.0,1732,1,1,11
25.0,25.0,142.0,1.0,4.0,111,1,2,0
9.0,27.0,86.0,8.0,4.0,929,1,1,17
12.0,5.0,14.0,1.0,4.0,1746,1,1,9
23.0,6.0,73.0,5.0,4.0,1365,1,1,27
23.0,6.0,137.0,5.0,4.0,70,1,1,9
26.0,16.0,115.0,1.0,4.0,1891,1,2,25
5.0,13.0,0.0,17.0,4.0,1306,1,1,9
2.0,6.0,57.0,10.0,4.0,373,1,1,27
4.0,6.0,0.0,11.0,4.0,137,1,1,9
5.0,12.0,0.0,17.0,4.0,1436,1,1,17
19.0,28.0,30.0,8.0,4.0,1315,1,1,16
16.0,18.0,0.0,17.0,4.0,182,1,1,16
10.0,6.0,0.0,17.0,4.0,1172,1,1,17
3.0,10.0,0.0,8.0,4.0,2169,1,1,27
12.0,6.0,0.0,17.0,4.0,686,1,1,27
2.0,6.0,132.0,1.0,4.0,1429,1,1,17
4.0,4.0,0.0,17.0,4.0,255,1,1,17
29.0,17.0,0.0,17.0,4.0,1711,2,8,21
26.0,13.0,10.0,10.0,4.0,1794,1,1,27
4.0,19.0,0.0,17.0,4.0,1786,1,1,27
2.0,6.0,10.0,12.0,4.0,713,1,1,9
4.0,6.0,0.0,17.0,4.0,678,1,1,27
6.0,5.0,95.0,1.0,4.0,1960,1,2,0
4.0,6.0,0.0,17.0,4.0,584,2,8,21
28.0,17.0,0.0,17.0,4.0,745,1,2,25
15.0,16.0,62.0,1.0,4.0,1878,1,2,25
2.0,16.0,27.0,13.0,4.0,95,1,1,27
4.0,6.0,14.0,12.0,4.0,1491,1,1,27
7.0,6.0,0.0,17.0,4.0,105,2,0,32
26.0,16.0,87.0,14.0,4.0,832,1,1,17
9.0,27.0,0.0,17.0,4.0,1260,1,2,0
30.0,27.0,136.0,1.0,4.0,623,1,1,17
30.0,6.0,156.0,1.0,4.0,284,1,1,27
23.0,7.0,0.0,17.0,4.0,2038,1,1,24
17.0,7.0,0.0,17.0,4.0,2036,1,1,24
30.0,21.0,0.0,17.0,4.0,1780,1,1,27
23.0,7.0,0.0,17.0,4.0,413,1,2,0
24.0,17.0,140.32000732421875,5.570000171661377,7.0,54,1,2,0
7.0,6.0,62.0,12.0,4.0,1261,1,1,17
5.0,15.0,0.0,17.0,4.0,1408,1,2,19
29.0,18.0,0.0,17.0,4.0,165,1,1,16
25.0,0.0,0.0,17.0,4.0,1784,1,1,16
1.0,9.0,0.0,17.0,4.0,2117,1,2,19
5.0,6.0,0.0,17.0,4.0,1243,1,1,27
2.0,6.0,520.0,9.0,4.0,262,1,1,27
2.0,16.0,53.0,5.0,4.0,1935,1,1,9
10.0,25.0,13.0,12.0,2.0,2200,1,2,0
9.0,27.0,92.0,12.0,4.0,1537,1,1,17
11.0,29.0,5.0,9.0,4.0,2303,1,1,24
7.0,25.0,0.0,17.0,3.0,532,1,2,0
17.0,25.0,62.0,12.0,4.0,336,1,1,16
10.0,6.0,0.0,17.0,4.0,394,1,2,0
2.0,6.0,118.0,1.0,4.0,1763,1,2,0
2.0,25.0,0.0,17.0,4.0,735,1,2,0
26.0,0.0,0.0,17.0,4.0,1234,1,1,16
2.0,25.0,0.0,17.0,4.0,1221,1,1,27
10.0,12.0,0.0,17.0,4.0,1012,1,1,17
18.0,25.0,58.0,8.0,4.0,1972,1,2,0
25.0,16.0,0.0,17.0,4.0,843,1,1,17
25.0,0.0,25.0,9.0,4.0,1980,1,1,16
27.0,13.0,28.0,9.0,2.0,703,1,1,9
7.0,6.0,642.0,5.0,4.0,265,1,1,27
2.0,25.0,646.0,1.0,4.0,2305,1,1,24
25.0,21.0,6.0,9.0,4.0,351,1,1,17
2.0,0.0,0.0,17.0,4.0,1229,1,1,16
2.0,6.0,628.0,5.0,4.0,419,1,2,0
3.0,7.0,8.0,12.0,4.0,1477,1,1,32
16.0,25.0,0.0,17.0,4.0,1983,1,2,0
5.0,25.0,476.0,12.0,4.0,1805,1,2,0
5.0,27.0,499.0,9.0,4.0,1222,1,1,27
9.0,5.0,575.0,5.0,4.0,74,1,1,27
10.0,25.0,0.0,17.0,4.0,582,1,2,0
1.0,6.0,26.0,8.0,4.0,1853,1,2,0
4.0,0.0,92.0,5.0,4.0,1440,1,2,0
2.0,6.0,15.0,8.0,4.0,2043,1,1,27
10.0,6.0,0.0,17.0,4.0,697,2,8,21
2.0,6.0,0.0,17.0,4.0,1649,1,1,27
10.0,11.0,11.0,12.0,2.0,28,1,1,27
2.0,6.0,18.0,10.0,4.0,705,1,1,17
10.0,4.0,0.0,17.0,4.0,73,1,1,27
2.0,6.0,107.0,8.0,4.0,1549,1,1,22
26.0,13.0,30.0,12.0,2.0,1787,1,1,9
3.0,6.0,42.0,8.0,4.0,12,1,1,32
25.0,0.0,19.0,10.0,4.0,2258,2,8,21
23.0,7.0,118.0,1.0,4.0,2041,1,1,24
23.0,5.0,0.0,17.0,4.0,1847,1,1,17
5.0,13.0,16.0,9.0,2.0,1304,1,1,27
29.0,2.0,22.0,14.0,2.0,220,1,1,16
10.0,6.0,0.0,17.0,4.0,1622,1,1,17
7.0,13.0,0.0,17.0,4.0,116,1,1,1
10.0,12.0,0.0,8.0,4.0,1507,1,1,9
18.0,6.0,111.0,1.0,4.0,1739,1,1,27
7.0,6.0,61.0,5.0,4.0,1503,1,1,27
2.0,0.0,8.0,10.0,4.0,2177,1,1,16
25.0,13.0,11.0,10.0,4.0,1154,1,1,32
17.0,28.0,160.72000122070312,4.260000228881836,7.0,2141,1,1,11
24.0,28.0,126.8499984741211,7.650000095367432,7.0,2348,1,1,16
29.0,7.0,0.0,17.0,4.0,2039,1,1,24
12.0,5.0,0.0,17.0,2.0,1322,1,1,17
17.0,25.0,0.0,17.0,2.0,1404,1,1,16
12.0,7.0,0.0,17.0,2.0,2257,2,8,21
7.0,0.0,0.0,17.0,4.0,1618,1,1,16
26.0,6.0,124.0,5.0,4.0,145,1,1,27
7.0,27.0,23.0,13.0,4.0,1330,1,1,17
7.0,27.0,30.0,13.0,4.0,1267,1,1,9
27.0,18.0,271.0,1.0,4.0,2067,1,1,16
29.0,7.0,0.0,17.0,2.0,1723,1,7,20
3.0,7.0,12.0,9.0,2.0,2048,1,1,27
4.0,17.0,0.0,17.0,4.0,2392,1,1,9
24.0,25.0,7.0,9.0,4.0,2069,1,1,16
2.0,27.0,68.0,14.0,4.0,1264,1,1,9
25.0,13.0,9.0,9.0,4.0,939,1,1,9
7.0,0.0,0.0,17.0,4.0,1519,1,1,16
25.0,6.0,18.0,10.0,4.0,434,1,2,0
22.0,5.0,41.0,12.0,2.0,1266,1,1,9
26.0,27.0,147.0,17.0,4.0,2392,1,1,9
15.0,16.0,189.0,8.0,4.0,2392,1,1,9
21.0,18.0,0.0,17.0,2.0,182,1,1,16
1.0,5.0,100.0,5.0,4.0,329,1,1,17
15.0,16.0,0.0,17.0,4.0,1945,1,1,9
23.0,16.0,38.0,12.0,2.0,204,0,9,23
23.0,27.0,0.0,17.0,4.0,2358,1,2,30
5.0,16.0,0.0,17.0,4.0,1800,1,1,28
25.0,27.0,123.0,5.0,4.0,1900,0,9,23
9.0,5.0,36.0,8.0,4.0,29,1,2,0
15.0,16.0,5.0,10.0,4.0,918,1,1,27
18.0,6.0,15.0,12.0,4.0,709,1,1,9
18.0,16.0,0.0,17.0,4.0,837,1,1,17
9.0,16.0,0.0,17.0,4.0,854,1,2,12
5.0,16.0,0.0,17.0,4.0,287,1,1,9
9.0,12.0,8.0,13.0,4.0,1804,1,1,9
25.0,25.0,71.0,5.0,4.0,1998,1,2,0
25.0,16.0,105.0,5.0,4.0,839,1,1,17
25.0,16.0,117.0,5.0,4.0,824,1,1,17
4.0,16.0,0.0,17.0,4.0,2365,1,2,25
25.0,16.0,123.0,5.0,4.0,1375,1,2,25
2.0,16.0,84.0,5.0,4.0,1948,1,1,9
9.0,29.0,58.0,8.0,4.0,2135,1,1,17
2.0,9.0,0.0,17.0,4.0,1397,1,1,24
4.0,12.0,22.0,8.0,4.0,674,1,1,24
24.0,25.0,0.0,17.0,4.0,898,1,2,0
15.0,16.0,52.0,5.0,4.0,837,1,1,17
26.0,10.0,0.0,17.0,4.0,2073,1,1,27
2.0,25.0,46.0,14.0,4.0,487,1,2,0
